664159,550946
665845,557965
597173,575538
618600,551446
635690,608046
588100,557588
582015,546191
604678,574577
572029,518313
604737,574591
577728,587566
602013,574722
627968,574625
607269,536961
603145,574795
671919,571761
612184,570393
600032,575310
627912,593892
601967,604428
591851,569051
601444,572693
629718,558104
661430,603567
597551,556737
601182,582584
562704,570596
605107,563429
607214,575069
568824,570203
612485,518009
589244,573777
625579,551084
560237,500154
626224,569687
610666,551701
597428,569940
600582,599535
604168,555003
613871,550423
617310,551945
625728,579460
606300,566708
638559,558807
582176,630383
544056,577786
631297,578351
561574,621747
604973,574773
605284,556134
617910,592293
555904,640401
526559,509417
603849,572396
598634,619900
603359,589262
657455,567754
614279,599251
578496,631434
645171,595209
688015,533535
656477,573007
540029,563888
597418,538362
613545,574733
628696,542447
604157,574191
603126,497987
605850,533310
596179,529556
610330,552628
598184,531473
620438,511694
600202,622079
603021,577991
515612,540643
606548,574376
593490,623110
607084,595500
583728,563146
616044,533807
624452,584622
604438,574666
625709,660145
601376,579831
565148,557305
639418,537903
612799,537497
583653,652182
599808,596484
605250,573272
606738,601356
611044,571814
575440,568511
616329,529516
605927,572533
609286,586782
647354,579190
606929,571420
562920,559223
